"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"1","ENSG00000112972.14",29607.7384963479,0.51200935137597,0.0561893465115691,9.11221402567034,8.07176223109838e-20,1.42184091700798e-15,"HMGCS1"
"2","ENSG00000113161.15",15444.7985567687,0.360280805928867,0.0427666432394462,8.42434146425031,3.62784843220043e-17,3.19522750666053e-13,"HMGCR"
"3","ENSG00000123983.13",5049.03310360946,0.338125795470602,0.0445274634568653,7.59364601574828,3.11027340972504e-14,1.82624887041022e-10,"ACSL3"
"4","ENSG00000186480.12",3178.71814681727,0.554058406333282,0.0768731140797598,7.20744063728729,5.70132809940604e-13,2.51072236177594e-09,"INSIG1"
"5","ENSG00000131069.19",1192.71297499885,0.450159543504332,0.0637120903280211,7.0655277701091,1.60006682506046e-12,5.637035424688e-09,"ACSS2"
"6","ENSG00000132196.13",801.363444299718,0.409360213563719,0.0587641693214852,6.9661533259188,3.25724149470599e-12,8.19661556132086e-09,"HSD17B7"
"7","ENSG00000147383.10",1364.47317422005,0.421410371182948,0.0604607723925391,6.96997994744359,3.16986164042328e-12,8.19661556132086e-09,"NSDHL"
"8","ENSG00000165029.15",1828.42312943627,-0.39668191192101,0.0580032879394742,-6.83895561808398,7.97725925277782e-12,1.75649277172102e-08,"ABCA1"
"9","ENSG00000052802.12",6473.45349718142,0.47769729869722,0.0711187182072746,6.71689972399358,1.85631617503262e-11,3.26990094231996e-08,"MSMO1"
"10","ENSG00000104549.11",6666.16878967617,0.315501738095091,0.0469383409388733,6.72162099861948,1.7971390785627e-11,3.26990094231996e-08,"SQLE"
"11","ENSG00000100344.10",762.996170650191,0.46448042208071,0.0700863949060437,6.6272551570584,3.41986211891491e-11,5.47644283860783e-08,"PNPLA3"
"12","ENSG00000079459.12",9215.88753931617,0.388015034867619,0.0612813229168546,6.33170134714734,2.42472481194854e-10,3.55929396353946e-07,"FDFT1"
"13","ENSG00000154803.12",886.868394267111,0.466268707342938,0.0757334190229752,6.15671012029031,7.42716137303317e-10,1.00638036604599e-06,"FLCN"
"14","ENSG00000121769.7",174.703254683875,1.07216924975243,0.175370478925975,6.11373850558391,9.73237348087486e-10,1.13255283743147e-06,"FABP3"
"15","ENSG00000204386.10",1144.22494868939,0.383788071808622,0.0626944788880332,6.12156091916856,9.26630778916627e-10,1.13255283743147e-06,"NEU1"
"16","ENSG00000164713.9",603.320629910817,0.376440996890874,0.0616622106286706,6.10488973802445,1.02871674135132e-09,1.13255283743147e-06,"BRI3"
"17","ENSG00000172893.15",2245.0721138997,0.490112376148477,0.0806447927038445,6.07742124092673,1.22130631488328e-09,1.26548886686288e-06,"DHCR7"
"18","ENSG00000138018.17",2475.8275756109,0.156636337234592,0.0258444469626919,6.06073472807163,1.3550114863334e-09,1.32602929620905e-06,"EPT1"
"19","ENSG00000134294.13",9907.48245335207,0.201405382951821,0.0340748733073702,5.9106715125558,3.40715882101144e-09,3.15879487537455e-06,"SLC38A2"
"20","ENSG00000164211.12",3550.58202185826,0.453616131543654,0.0776888727754881,5.83888162278467,5.25523910762742e-09,4.62855184404285e-06,"STARD4"
"21","ENSG00000110921.11",1247.95316261533,0.354910474963701,0.0638551289510956,5.5580574464976,2.72793609616323e-08,2.28821877780549e-05,"MVK"
"22","ENSG00000185664.14",269.135764240535,1.57481986653033,0.29043476441585,5.42228431123856,5.88421937545227e-08,4.71138746811781e-05,"PMEL"
"23","ENSG00000147155.10",1349.4948581783,0.377022519308837,0.0719717521002256,5.23847910196499,1.61905305428749e-07,0.000123998345875105,"EBP"
"24","ENSG00000217128.11",1447.21741974481,0.283847571315622,0.0563569843300916,5.03659971678192,4.73874296182839e-07,0.000321049835663873,"FNIP1"
"25","ENSG00000154359.12",1183.54931149599,0.179777443035823,0.0356841470841226,5.03801989751951,4.70372554912458e-07,0.000321049835663873,"LONRF1"
"26","ENSG00000068366.19",2264.97465673402,0.343467924947449,0.068167014383497,5.03862356381273,4.68891665419013e-07,0.000321049835663873,"ACSL4"
"27","ENSG00000133935.6",851.912594150354,0.275220068867361,0.0551262445312729,4.99254159624877,5.95898744249329e-07,0.000388768754813035,"C14orf1"
"28","ENSG00000109929.9",2680.08893911506,0.485688887769493,0.0987291105994423,4.91940912685824,8.68058575490117e-07,0.000546101850259229,"SC5D"
"29","ENSG00000099194.5",27101.3961147815,0.496827877745975,0.101534017587415,4.89321598367988,9.92014352567411e-07,0.000586820209301122,"SCD"
"30","ENSG00000120137.6",13431.0532308234,0.179034007467289,0.0365991390348681,4.89175462014894,9.99409950555417e-07,0.000586820209301122,"PANK3"
"31","ENSG00000067064.10",5532.95892458056,0.351602670526852,0.0730865218585028,4.81077306165373,1.50347647275951e-06,0.000854314131214797,"IDI1"
"32","ENSG00000160285.14",7418.39148517905,0.426639159135351,0.0892135193979088,4.78222540725539,1.73365118903931e-06,0.000954320802966481,"LSS"
"33","ENSG00000117280.12",114.010595153778,0.713708658882621,0.154694965439131,4.61365149703886,3.95655629651005e-06,0.00211196179281892,"RAB29"
"34","ENSG00000165782.10",631.02610395729,0.205117160119602,0.0452285109517182,4.53512962959507,5.75681168501118e-06,0.002982536406808,"TMEM55B"
"35","ENSG00000134324.11",1788.27219716408,0.265937808239036,0.0611932467603233,4.34586857730625,1.38725614577759e-05,0.00698186200224923,"LPIN1"
"36","ENSG00000023839.10",330.455631889481,1.12415503027792,0.261838420379854,4.2933158115111,1.76024347671465e-05,0.00861296912286904,"ABCC2"
"37","ENSG00000116133.11",10325.2760299219,0.363268416166531,0.0852237322125461,4.26252649039762,2.02128528325755e-05,0.00962295682826533,"DHCR24"
"38","ENSG00000081087.14",683.278124273717,0.246436294018047,0.0586345001204767,4.20292308302607,2.63490141892702e-05,0.0122141548669472,"OSTM1"
"39","ENSG00000100644.16",6240.22780544655,0.121930966103788,0.0293384824018491,4.1560079500262,3.23856559234231e-05,0.0146275212587461,"HIF1A"
"40","ENSG00000178234.12",1262.85731777839,0.167178465721646,0.0406550085653625,4.11212472020188,3.92034403794581e-05,0.0172642150571039,"GALNT11"
"41","ENSG00000185813.10",1083.26418812535,0.293549841700316,0.072723253305797,4.03653341065417,5.42468034634581e-05,0.023306279097776,"PCYT2"
"42","ENSG00000109107.13",209.275972321433,0.412932194959124,0.102510834428291,4.02818099435118,5.62100644382572e-05,0.0235747686923786,"ALDOC"
"43","ENSG00000157538.13",1357.81713720554,0.11556822350012,0.0287499757687927,4.01976768361544,5.82555578871358e-05,0.023864457027486,"DSCR3"
"44","ENSG00000090487.10",1544.8733422415,0.189911324758849,0.0473426722970599,4.01141962513686,6.03547249741027e-05,0.0241624654640641,"SPG21"
"45","ENSG00000066855.15",698.561752901577,0.147736653790192,0.0369132645461552,4.00226464948574,6.27390642724104e-05,0.024558858159078,"MTFR1"
"46","ENSG00000134824.13",15013.2744703446,0.287539180662228,0.0730552329125202,3.93591491257773,8.28803363152768e-05,0.0317377635694261,"FADS2"
"47","ENSG00000136144.11",1491.41553738285,0.157192119579445,0.0404157907978491,3.88937384315169,0.000100503197341321,0.0376673153439867,"RCBTB1"
"48","ENSG00000185339.8",1161.43082801426,0.241555985226302,0.0624768791678875,3.86632604642742,0.000110487206026103,0.0405465027947875,"TCN2"
"49","ENSG00000087076.8",140.319261075952,0.564678407419846,0.146738308668918,3.84820032711374,0.000118988735980236,0.0427752364141195,"HSD17B14"
"50","ENSG00000197355.10",35.8320133120196,1.26322274182597,0.329506320735318,3.8336828835544,0.000126238866093712,0.0444739525248146,"UAP1L1"
