symbol	ensembl	entrez
MT-TF	ENSG00000210049	NA
MT-RNR1	ENSG00000211459	NA
MT-TV	ENSG00000210077	NA
MT-RNR2	ENSG00000210082	NA
MT-TL1	ENSG00000209082	NA
MT-ND1	ENSG00000198888	4535
MT-TI	ENSG00000210100	NA
MT-TQ	ENSG00000210107	NA
MT-TM	ENSG00000210112	NA
MT-ND2	ENSG00000198763	4536
MT-TW	ENSG00000210117	NA
MT-TA	ENSG00000210127	NA
MT-TN	ENSG00000210135	NA
MT-TC	ENSG00000210140	NA
MT-TY	ENSG00000210144	NA
MT-CO1	ENSG00000198804	4512
MT-TS1	ENSG00000210151	113219467
MT-TD	ENSG00000210154	NA
MT-CO2	ENSG00000198712	4513
MT-TK	ENSG00000210156	NA
MT-ATP8	ENSG00000228253	4509
MT-ATP6	ENSG00000198899	4508
MT-CO3	ENSG00000198938	4514
MT-TG	ENSG00000210164	NA
MT-ND3	ENSG00000198840	4537
MT-TR	ENSG00000210174	NA
MT-ND4L	ENSG00000212907	4539
MT-ND4	ENSG00000198886	4538
MT-TH	ENSG00000210176	NA
MT-TS2	ENSG00000210184	NA
MT-TL2	ENSG00000210191	NA
MT-ND5	ENSG00000198786	4540
MT-ND6	ENSG00000198695	4541
MT-TE	ENSG00000210194	NA
MT-CYB	ENSG00000198727	4519
MT-TT	ENSG00000210195	NA
MT-TP	ENSG00000210196	NA
5S_rRNA	ENSG00000278457	NA
	ENSG00000280538	NA
	ENSG00000278704	NA
	ENSG00000271254	102724250
	ENSG00000275151	NA
5_8S_rRNA	ENSG00000278294	NA
	ENSG00000281806	NA
	ENSG00000279969	NA
LINC02109	ENSG00000274882	NA
LINC01115	ENSG00000281362	339822
PCMTD2	ENSG00000280663	55251
	ENSG00000277995	NA
OPRL1	ENSG00000277044	4987
NPBWR2	ENSG00000277339	2832
	ENSG00000280695	NA
MYT1	ENSG00000276876	4661
KIR2DS4	ENSG00000274324	3809
	ENSG00000274130	NA
KIR2DL2	ENSG00000278731	3803
KIR3DL3	ENSG00000277620	115653
LILRP2	ENSG00000274826	79166
INTS3	ENSG00000262826	65123
KIR2DL4	ENSG00000277355	3805
KIR2DL4	ENSG00000275699	3805
LILRP2	ENSG00000273755	79166
KIR2DL2	ENSG00000275407	3803
KIR3DL1	ENSG00000276379	3811
KIR2DL1	ENSG00000277616	3802
KIR3DP1	ENSG00000275751	NA
KIR2DL1	ENSG00000278805	3802
LILRP2	ENSG00000275442	79166
KIR2DS4	ENSG00000277345	3809
