Sample	CellLine	Gender	Disease	Replicate	Factorial	Pb	VPA	BPA	ETOH	FH	Zn
P16902_101Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E1	Pb_Control	VPA_Control	BPA_Control	ETOH_Control	FH_Control	Zn_Control
P16902_102Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E2	Pb_Control	VPA_Control	BPA_Control	ETOH_Treatment	FH_Treatment	Zn_Treatment
P16902_103Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E3	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Control	FH_Control	Zn_Treatment
P16902_104Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E4	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Treatment	FH_Treatment	Zn_Control
P16902_105Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E5	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Control	FH_Treatment	Zn_Control
P16902_106Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E6	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Treatment	FH_Control	Zn_Treatment
P16902_107Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E7	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Control	FH_Treatment	Zn_Treatment
P16902_108Aligned.sortedByCoord.out.bam	CTRL9II	male	control	first	E8	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Treatment	FH_Control	Zn_Control
P16902_109Aligned.sortedByCoord.out.bam	AF22	female	control	first	E1	Pb_Control	VPA_Control	BPA_Control	ETOH_Control	FH_Control	Zn_Control
P16902_110Aligned.sortedByCoord.out.bam	AF22	female	control	first	E2	Pb_Control	VPA_Control	BPA_Control	ETOH_Treatment	FH_Treatment	Zn_Treatment
P16902_111Aligned.sortedByCoord.out.bam	AF22	female	control	first	E3	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Control	FH_Control	Zn_Treatment
P16902_112Aligned.sortedByCoord.out.bam	AF22	female	control	first	E5	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Control	FH_Treatment	Zn_Control
P16902_113Aligned.sortedByCoord.out.bam	AF22	female	control	first	E6	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Treatment	FH_Control	Zn_Treatment
P16902_114Aligned.sortedByCoord.out.bam	AF22	female	control	first	E7	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Control	FH_Treatment	Zn_Treatment
P16902_115Aligned.sortedByCoord.out.bam	AF22	female	control	first	E8	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Treatment	FH_Control	Zn_Control
P16902_116Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E1	Pb_Control	VPA_Control	BPA_Control	ETOH_Control	FH_Control	Zn_Control
P16902_117Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E2	Pb_Control	VPA_Control	BPA_Control	ETOH_Treatment	FH_Treatment	Zn_Treatment
P16902_118Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E3	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Control	FH_Control	Zn_Treatment
P16902_119Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E4	Pb_Control	VPA_Treatment	BPA_Treatment	ETOH_Treatment	FH_Treatment	Zn_Control
P16902_120Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E5	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Control	FH_Treatment	Zn_Control
P16902_121Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E6	Pb_Treatment	VPA_Control	BPA_Treatment	ETOH_Treatment	FH_Control	Zn_Treatment
P16902_122Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E7	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Control	FH_Treatment	Zn_Treatment
P16902_123Aligned.sortedByCoord.out.bam	ASD12BI	male	ASD	first	E8	Pb_Treatment	VPA_Treatment	BPA_Control	ETOH_Treatment	FH_Control	Zn_Control
