ensembl	featureID	exonBaseMean	dispersion	stat	pvalue	padj	control	treated	log2fold_treated_control	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.9	countData.10	countData.11	countData.12	countData.13	countData.14	countData.15	countData.35	transcripts
ENSG00000153922	E057	36.10500483	0.003591586	44.94998681	2.02E-11	1.97E-06	7.686468117	12.08816134	1.315662988	chr5	98928539	98928957	419	-	19	23	62	37	41	26	21	63	ENST00000614616.4
ENSG00000116871	E025	150.7932624	0.007289499	43.67127738	3.88E-11	2.83E-06	16.63602524	23.01483506	0.963292554	chr1	36177873	36178201	329	+	90	128	374	195	186	98	66	99	"c(""ENST00000373150.8"", ""ENST00000487131.3"", ""ENST00000373151.6"", ""ENST00000316156.8"", ""ENST00000530975.4"", ""ENST00000373148.5"")"
ENSG00000167470	E017	193.6391081	0.001128472	41.91273418	9.54E-11	5.57E-06	25.29892966	20.77311411	-0.590757539	chr19	1258700	1259140	441	+	220	249	262	182	190	208	185	81	ENST00000300952.6
ENSG00000109113	E048	20.90071842	0.013978312	40.157871	2.34E-10	9.76E-06	5.061198172	9.742112165	1.896886713	chr17	28717594	28717620	27	-	5	18	42	27	32	6	10	29	"c(""ENST00000580843.6"", ""ENST00000395242.6"", ""ENST00000395245.7"", ""ENST00000483554.1"", ""ENST00000395243.7"", ""ENST00000582934.1"")"
ENSG00000130584	E002	107.4955505	0.001900305	38.03027259	6.97E-10	1.85E-05	19.33733083	15.38014356	-0.675209776	chr20	63743668	63744524	857	-	137	150	147	85	96	110	97	59	"c(""ENST00000395104.5"", ""ENST00000245663.8"")"
ENSG00000168066	E045	123.5924736	0.001715895	36.39437254	1.61E-09	2.90E-05	16.27577	20.45255509	0.675371607	chr11	64778362	64778469	108	-	96	113	225	140	141	93	93	103	"c(""ENST00000227503.13"", ""ENST00000626028.1"", ""ENST00000482693.1"", ""ENST00000463343.1"", ""ENST00000377394.7"", ""ENST00000334944.9"", ""ENST00000377387.5"", ""ENST00000413951.5"", ""ENST00000633899.1"", ""ENST00000377390.7"", ""ENST00000448404.5"")"
ENSG00000205476	E010	101.0106062	0.006834598	36.71244844	1.37E-09	2.90E-05	13.92114874	18.45704548	0.829371264	chr14	99522133	99522240	108	-	59	87	247	116	137	46	55	81	"c(""ENST00000380243.8"", ""ENST00000556348.1"", ""ENST00000557576.5"", ""ENST00000555822.5"", ""ENST00000557769.5"", ""ENST00000554996.5"", ""ENST00000554877.1"")"
ENSG00000184281	E006	90.74554554	0.004893238	35.21100287	2.96E-09	4.11E-05	18.41972109	13.74648228	-0.860329481	chr11	2401018	2401485	468	+	108	131	138	55	77	80	90	69	ENST00000485682.6
ENSG00000109113	E047	29.58852372	0.018671771	33.57337306	6.86E-09	7.42E-05	6.425829607	11.35735261	1.652674954	chr17	28717426	28717593	168	-	12	25	65	34	44	12	14	35	"c(""ENST00000580843.6"", ""ENST00000353676.9"", ""ENST00000395245.7"", ""ENST00000395242.6"", ""ENST00000483554.1"", ""ENST00000395243.7"", ""ENST00000582934.1"")"
ENSG00000114019	E023	143.7066002	0.007263542	32.88797028	9.76E-09	8.63E-05	16.51064449	22.0715984	0.860319314	chr3	134371064	134371189	126	-	85	106	361	153	153	79	88	156	"c(""ENST00000505596.1"", ""ENST00000513145.1"", ""ENST00000515172.1"", ""ENST00000249883.9"", ""ENST00000422605.6"", ""ENST00000504234.1"", ""ENST00000506107.1"", ""ENST00000514516.5"", ""ENST00000510560.1"")"
